longitude,latitude,median_house_value
-118.51186496072675,35.11795881994102,111761
-116.8481063362758,38.963434888154595,134416
-117.97236623928356,35.77751839292481,445973
-118.55116817003103,33.79603677559635,455336
-119.76345200661095,32.246787283913314,73842
-117.54105886933344,32.67249631463248,250655
-119.62412788737308,38.79392773498567,433676
-115.0822699921792,36.536968445560454,495678
-114.36337239498971,37.365792111087224,311291
-120.16558481174222,40.96671293040342,297507
-116.08274961917336,41.903389473967046,224936
-118.71105080247095,34.16896984398474,385508
-118.31955438906067,38.630782031001004,414316
-114.74403361707338,34.633223767371504,202179
-123.28963941802112,32.20650999465729,186002
-123.1287070029846,39.583786538361416,492972
-123.79781602559675,35.20017150822468,107308
-115.67380154452061,35.83463894171898,414134
-116.2184324905015,37.88317113553606,272053
-115.29987851753181,40.310484552361906,397515
-114.21381657767236,38.289818435911485,201237
-116.00841435783276,40.72650655447396,443316
-119.38520637747068,34.73542034815636,366086
-116.19470823713544,39.980468339125636,124573
-122.81725574131067,33.856359443059524,449253
-117.60078978672476,41.527916569719444,366923
-122.56646712590954,38.874882763878155,75247
-114.55331082950416,34.15507677113558,364961
-118.78151678249928,41.47370590488924,298867
-119.85338060009477,39.308558067701576,74813
-121.35444387895373,34.53941642595026,360515
-116.25766310565783,34.13311977367482,359498
-119.43849667783451,37.182007139306634,146648
-118.31566051131351,32.256627180545316,106062
-123.81210199563645,34.0747007544111,288873
-117.82364502924123,36.24685468751506,72957
-117.87904277277579,35.74169980334226,88870
-117.83066003125244,36.63575424364811,473065
-114.56251921485375,34.77628706294732,436030
-117.18179700896516,37.86784346458169,118727
-120.40492099426214,40.638556059232315,354805
-119.62968046200659,33.17531855962033,90831
-117.02368804072735,37.17379107154114,178385
-123.39774528370731,33.32068106345153,309461
-117.33233284554332,39.16859681192594,89308
-117.29362130381841,35.96059702807294,184490
-121.89617438926159,37.65421311858509,386458
-122.71073702345147,33.832798362140785,343883
-120.84571649075816,33.44847759343377,104198
-120.36289229057377,36.88056280648954,417694
-118.2980322958212,35.55612737849955,485006
-119.61398486537679,41.40431945252813,174488
-114.11626161940774,39.65325253806965,443005
-122.97955189251972,39.48663619850547,135125
-121.91123243905166,41.03719739745934,426367
-122.38690482115004,32.834224354420186,464890
-117.46891674534602,37.521924699224066,300307
-121.46708397460218,37.84476068955769,121818
-119.33689227143694,41.61936378547229,51337
-121.55574407998397,34.92147526792549,479531
-122.41030416354481,34.408287799154465,325801
-122.89624858835695,33.002939422654975,263379
-117.43670410534726,32.164296295914745,186317
-122.61817048651386,41.295293167921905,339486
-122.03417638319947,38.699165465909104,316066
-120.31274829339036,39.851529120231376,51221
-115.79006770152066,34.81730105753949,358922
-123.02898724206939,37.864101661863266,182996
-115.62055092501197,32.63955266120981,237409
-123.03901592106037,36.85627595934623,58901
-114.23540534986604,41.77495139744447,222479
-119.31348798352299,40.76505245316591,361646
-114.23238911809663,35.38158951836846,201171
-117.95154480254953,41.615701545414986,406677
-116.60736420601698,34.317016264712045,87028
-123.6081220774568,41.49318822415681,172426
-121.1719303742359,41.41377704706498,157697
-122.79803438786831,39.992025873523914,184583
-121.03859802477855,38.30447936866791,126440
-122.81272281045756,40.74287966624947,247281
-120.82016820606025,34.930202845077964,477922
-119.8573700548533,40.489435553129184,226590
-123.35852503651216,38.17876691917524,468545
-117.0752788062998,32.13236857758899,253911
-118.33398545793425,35.472335179322194,428805
-121.34610509060555,33.48140860948165,341563
-118.76751946533301,41.81829389818253,439166
-123.06059489241558,36.78370307039988,180544
-118.2405350444382,36.973913654986625,355791
-114.70703802423786,38.39472516398723,81649
-120.81431047548676,35.685846061296175,156833
-117.32589620036319,33.36900271685599,235501
-122.68202137595608,40.22117733194246,143708
-116.83672795881435,33.89847911902758,373190
-121.105939070528,37.11318982546456,354942
-122.16808637992884,34.24317028974739,78960
-118.13487065189916,32.97844484494034,483954
-123.79892453812506,40.62191517421683,252327
-115.71059970782636,41.729194890231305,77260
-123.95304523807452,41.60834658063,144617
-117.2218346320377,41.06555499221179,471038
-121.29992026807835,39.74047332698639,60738
-116.64805977877405,35.33145152028642,172731
-114.37811454882562,32.81101389987997,475524
-121.51246856480041,36.07241171413807,172857
-118.23842665582163,34.322341421709424,325054
-118.0795806872816,33.32487634757983,88464
-118.27748094209127,32.53427181786825,315548
-121.76918367359382,39.25594364210579,111302
-114.47250988483015,32.11427458625031,60825
-119.52874621382372,39.70580748502776,480226
-115.53591327528872,33.46946645400375,167508
-117.00520724682495,32.79522082586756,363095
-121.02563049144867,32.896030342386055,478675
-115.86202180297522,38.72047807353914,157568
-120.03494259153015,34.45367209852845,470940
-115.18896802888838,36.205394666800984,384117
-118.18727127364141,37.57368791323917,324548
-115.18264638145148,40.60551173828794,354621
-117.07468409922234,39.27044262711328,351165
-116.7474572018036,34.703279052387145,322338
-118.98675618073298,33.314827992911276,388099
-114.43916365276776,32.553743204211976,486785
-117.56009800770363,35.01598634480943,421783
-119.7614495144182,34.62118149239678,295594
-117.93606785872076,36.561405668004795,487681
-123.80806801690666,38.8328133554768,153709
-120.9842518332545,38.95625445638857,169299
-117.39826462507315,34.835188465821666,189338
-121.09922392789557,35.7992695590012,410020
-117.81984571001158,33.81150961736903,159889
-119.71231299054234,39.885455123065185,350919
-122.6452593577755,32.568480764332406,119140
-121.0171767404397,38.96997241724987,118816
-118.30035089298735,39.786953959411036,186234
-118.09127238751827,39.77407561848753,219458
-118.25674751150422,34.59422564345355,426860
-117.46799180142867,35.738131379325615,346346
-117.47896729998311,37.87599635196389,282279
-119.68581564566026,34.72821902424467,348164
-115.03453404148937,35.70852799217889,187520
-120.32438129952104,33.970542801856396,97042
-119.64135074734374,36.59855883756008,76214
-115.08076644984328,32.44612301254114,75353
-115.93806010953914,39.99795884570618,188498
-116.96111416459634,32.769564469866324,323780
-122.99773112687699,37.18835148831526,179900
-114.80517386255326,35.068100995451964,292521
-116.85758700450889,37.775429488313755,272069
-114.01152993432133,41.59433340833425,50612
-122.50551695342006,38.45570244456004,250794
-115.31873942631786,32.35362435755491,141204
-122.37507065323625,36.30402439508061,107961
-117.84440435716155,37.100168523182504,92506
-122.76180017150558,37.36177494703452,398172
-115.51991770677766,38.81392510603838,235960
-115.92681041274989,34.77596097731766,224305
-118.30899261385407,33.2886056546632,339189
